Card_Id(PC),CARD_OUTPUT_Name,C_Type,Element,Tier,Rare,Effect_Type,E_Coeffici,C_Coeffici,Calculation,Debuff_Type,Debuff_Stack,Buff_Type,Buff_Stack,Enhanceable,Enhance_Count,Target,Card_Description,CARD_INSIDE_NAME,,,,,카드 컨셉(주석용),(속성계수 * 카드계수 * 주사위)
0034,WAN2+,Action,Water,tier2,Opening,Damage,3,0.3,3 * 0.3 * N,Water,2,None,0,No,None,Enemy,적에게 1~5의 피해를 줍니다. 젖음 2,CARD_ACTION_WATER_NOMAL_4,,,,,1공 2디펍,
0035,WAN3,Action,Water,tier1,Opening,Damage,3,0.6,3 * 0.6 * N,None,0,None,0,Yes,2,Enemy,적에게 2~11의 피해를 줍니다. 강화 2.,CARD_ACTION_WATER_NOMAL_5,,,,,,
0036,WAN3+,Action,Water,tier2,Opening,Damage,3,0.7,3 * 0.7 * N,None,0,None,0,No,None,Enemy,적에게 2~13의 피해를 줍니다.,CARD_ACTION_WATER_NOMAL_6,,,,,,
0037,WAR1,Action,Water,tier1,Rising,Damage,3,0.5,3 * 0.5 * N,Water,2,None,0,Yes,3,Enemy,적에게 2~9의 피해를 줍니다. 젖음2. 강화 3.,CARD_ACTION_WATER_RARE_1,,,,,3공,
0038,WAR1+,Action,Water,tier2,Rising,Damage,3,0.6,3 * 0.6 * N,Water,3,None,0,No,None,Enemy,적에게 2~11의 피해를 줍니다. 젖음 3.,CARD_ACTION_WATER_RARE_2,,,,,,
0039,WAR2,Action,Water,tier1,Rising,Damage,3,0.6,3 * 0.6 * N,Water,1,None,0,Yes,3,Enemy,적에게 2~11의 피해를 줍니다. 젖음 1. 강화 3.,CARD_ACTION_WATER_RARE_3,,,,,,
0040,WAR2+,Action,Water,tier2,Rising,Damage,3,0.7,3 * 0.7 * N,Water,2,None,0,No,None,Enemy,적에게 2~13의 피해를 줍니다. 젖음 2.,CARD_ACTION_WATER_RARE_4,,,,,3공 3 디벞,
0041,WAE1,Action,Water,tier1,Climax,Damage,3,0.7,3 * 0.7 * N,Water,3,None,0,Yes,3,Enemy,적에게 2~13의 피해를 줍니다. 젖음 3. 강화 3.,CARD_ACTION_WATER_EPIC_1,,,,,,
0042,WAE1+,Action,Water,tier2,Climax,Damage,3,0.8,3 * 0.8 * N,Water,4,None,0,Yes,4,Enemy,적에게 2~14의 피해를 줍니다. 젖음 4. 강화 4.,CARD_ACTION_WATER_EPIC_2,,,,,,
0043,WAE1++,Action,Water,tier3,Finale,Damage,3,0.9,3 * 0.9 * N,Water,5,None,0,No,None,Enemy,적에게 3~16의 피해를 줍니다. 젖음 5.,CARD_ACTION_WATER_EPIC_3,,,,,4공 2디벞,
0044,물 공격 강화 카드,Action,Water,tier1,Opening,Damage,3,0.4,3 * 0.4 * N,None,0,None,0,Yes,2,Enemy,적에게 1~7의 피해를 줍니다. 강화 2.,CARD_ACTION_WATER_MAIN_1,,,,,,
0045,물 공격 강화 카드+,Action,Water,tier2,Rising,Damage,3,0.6,3 * 0.6 * N,Water,2,None,0,Yes,3,Enemy,적에게 2~11의 피해를 줍니다. 젖음 2. 강화 3.,CARD_ACTION_WATER_MAIN_2,,,,,,
0046,물 공격 강화 카드++,Action,Water,tier3,Climax,Damage,3,0.8,3 * 0.8 * N,Water,4,None,0,Yes,4,Enemy,적에게 2~14의 피해를 줍니다. 젖음 4. 강화 4.,CARD_ACTION_WATER_MAIN_3,,,,,5공 4디벞,
0047,물 공격 강화 카드+++,Action,Water,tier4,Finale,Damage,3,1,3 * 1.0 * N,Water,6,None,0,No,None,Enemy,적에게 3~18의 피해를 줍니다. 젖음 6.,CARD_ACTION_WATER_MAIN_4,,,,,,
0048,WSN1,Support,Water,tier1,Opening,Shield,4,0.2,4 * 0.2 * N,None,0,None,0,Yes,2,Self,1~5의 보호막을 얻습니다. 강화 2.,CARD_SUPPORT_WATER_NOMAL_1,,,,,,
0049,WSN1+,Support,Water,tier2,Opening,Shield,4,0.3,4 * 0.3 * N,None,0,None,0,No,None,Self,1~7의 보호막을 얻습니다.,CARD_SUPPORT_WATER_NOMAL_2,,,,,3보호막,
0050,WSN2,Support,Water,tier1,Opening,Heal,4,0.1,4 * 0.1 * N,None,0,Recovery,2,Yes,2,Self,0~2의 체력을 회복합니다. 재생 2. 강화 2,CARD_SUPPORT_WATER_NOMAL_3,,,,,,
0051,WSN2+,Support,Water,tier2,Opening,Heal,4,0.15,4 * 0.15 * N,None,0,Recovery,3,No,None,Self,1~4의 체력을 회복합니다. 재생 3.,CARD_SUPPORT_WATER_NOMAL_4,,,,,,
0052,WSR1,Support,Water,tier1,Rising,Heal,4,0.2,4 * 0.2 * N,None,0,Recovery,1,Yes,3,Self,1~5의 체력을 회복합니다. 재생 1. 강화 3,CARD_SUPPORT_WATER_RARE_1,,,,,3버프,
0053,WSR1+,Support,Water,tier2,Rising,Heal,4,0.3,4 * 0.3 * N,None,0,Recovery,2,No,None,Self,1~7의 체력을 회복합니다. 재생 2.,CARD_SUPPORT_WATER_RARE_2,,,,,,
0054,WSE1,Support,Water,tier1,Climax,Heal,4,0.3,4 * 0.3 * N,None,0,Recovery,2,Yes,3,Self,1~7의 체력을 회복합니다. 재생 2. 강화 3,CARD_SUPPORT_WATER_EPIC_1,,,,,,
0055,WSE1+,Support,Water,tier2,Climax,Heal,4,0.4,4 * 0.4 * N,None,0,Recovery,3,Yes,4,Self,2~10의 체력을 회복합니다. 재생 3. 강화 4.,CARD_SUPPORT_WATER_EPIC_2,,,,,2회복 3버프,
0056,WSE1++,Support,Water,tier3,Finale,Heal,4,0.5,4 * 0.5 * N,None,0,Recovery,4,No,None,Self,2~12의 체력을 회복합니다. 재생 4.,CARD_SUPPORT_WATER_EPIC_3,,,,,,
0057,물 방어 강화 카드,Support,Water,tier2,Opening,Shield,4,0.15,4 * 0.15 * N,None,0,Recovery,2,Yes,2,Self,1~4의 보호막을 얻습니다. 재생 2. 강화 2.,CARD_SUPPORT_WATER_MAIN_1,,,,,,
0058,물 방어 강화 카드+,Support,Water,tier2,Rising,Shield,4,0.3,4 * 0.3 * N,None,0,Recovery,3,Yes,3,Self,1~7의 보호막을 얻습니다. 재생 3. 강화 3.,CARD_SUPPORT_WATER_MAIN_2,,,,,3회복 5버프,
0059,물 방어 강화 카드++,Support,Water,tier3,Climax,Shield,4,0.45,4 * 0.45 * N,None,0,Recovery,4,Yes,4,Self,2~11의 보호막을 얻습니다. 재생 4. 강화 4.,CARD_SUPPORT_WATER_MAIN_3,,,,,,
0060,물 방어 강화 카드+++,Support,Water,tier4,Finale,Shield,4,0.6,4 * 0.6 * N,None,0,Recovery,5,No,None,Self,2~14의 보호막을 얻습니다. 재생 5.,CARD_SUPPORT_WATER_MAIN_4,,,,,,
0061,AAN1,Action,Air,tier1,Opening,Damage,3,0.4,3 * 0.4 * N,Air,0,None,0,Yes,2,Enemy,적에게 1~7의 피해를 줍니다. 강화 2.,CARD_ACTION_AIR_NOMAL_1,,,,,2공격 1디버프,
0062,AAN1+,Action,Air,tier2,Opening,Damage,3,0.5,3 * 0.5 * N,Air,1,None,0,No,None,Enemy,적에게 2~9의 피해를 줍니다. 교란 1.,CARD_ACTION_AIR_NOMAL_2,,,,,,
0063,AAN2,Action,Air,tier1,Opening,Damage,3,0.1,3 * 0.1 * N,Air,2,None,0,Yes,2,Enemy,적에게 0~2의 피해를 줍니다. 교란 2. 강화 2.,CARD_ACTION_AIR_NOMAL_3,,,,,,
0064,AAN2+,Action,Air,tier2,Opening,Damage,3,0.2,3 * 0.2 * N,Air,3,None,0,No,None,Enemy,적에게 1~4의 피해를 줍니다. 교란 3.,CARD_ACTION_AIR_NOMAL_4,,,,,3디버프,
0065,AAN3,Action,Air,tier1,Opening,Damage,3,0.6,3 * 0.6 * N,None,0,None,0,Yes,2,Enemy,적에게 2~11의 피해를 줍니다. 강화 2.,CARD_ACTION_AIR_NOMAL_5,,,,,,
0066,AAN3+,Action,Air,tier2,Opening,Damage,3,0.7,3 * 0.7 * N,None,0,None,0,No,None,Enemy,적에게 2~13의 피해를 줍니다.,CARD_ACTION_AIR_NOMAL_6,,,,,,
0067,AAR1,Action,Air,tier1,Rising,Damage,3,0.6,3 * 0.6 * N,Air,2,None,0,Yes,3,Enemy,적에게 2~11의 피해를 줍니다. 교란 2. 강화 3.,CARD_ACTION_AIR_RARE_1,,,,,3공격,
0068,AAR1+,Action,Air,tier2,Rising,Damage,3,0.7,3 * 0.7 * N,Air,3,None,0,No,None,Enemy,적에게 2~13의 피해를 줍니다. 교란 3.,CARD_ACTION_AIR_RARE_2,,,,,,
0069,AAR2,Action,Air,tier1,Rising,Damage,3,0.5,3 * 0.5 * N,Air,3,None,0,Yes,3,Enemy,적에게 2~9의 피해를 줍니다. 교란 3. 강화 3.,CARD_ACTION_AIR_RARE_3,,,,,,
0070,AAR2+,Action,Air,tier2,Rising,Damage,3,0.6,3 * 0.6 * N,Air,4,None,0,No,None,Enemy,적에게 2~11의 피해를 줍니다. 교란 4.,CARD_ACTION_AIR_RARE_4,,,,,3공격 3디버프,
0071,AAE1,Action,Air,tier1,Climax,Damage,3,0.7,3 * 0.7 * N,Air,4,None,0,Yes,3,Enemy,적에게 2~13의 피해를 줍니다. 교란 4. 강화 3.,CARD_ACTION_AIR_EPIC_1,,,,,,
0072,AAE1+,Action,Air,tier2,Climax,Damage,3,0.8,3 * 0.8 * N,Air,5,None,0,Yes,4,Enemy,적에게 2~14의 피해를 줍니다. 교란 5. 강화 4.,CARD_ACTION_AIR_EPIC_2,,,,,,
0073,AAE1++,Action,Air,tier3,Finale,Damage,3,0.9,3 * 0.9 * N,Air,6,None,0,No,None,Enemy,적에게 3~16의 피해를 줍니다. 교란 6.,CARD_ACTION_AIR_EPIC_3,,,,,2공격 4디버프,
0074,바람 공격 강화 카드,Action,Air,tier1,Opening,Damage,3,0.4,3 * 0.4 * N,None,0,None,0,Yes,2,Enemy,적에게 1~7의 피해를 줍니다. 강화 2.,CARD_ACTION_AIR_MAIN_1,,,,,,
0075,바람 공격 강화 카드+,Action,Air,tier2,Rising,Damage,3,0.6,3 * 0.6 * N,Air,2,None,0,Yes,3,Enemy,적에게 2~11의 피해를 줍니다. 교란 2. 강화 3.,CARD_ACTION_AIR_MAIN_2,,,,,,
0076,바람 공격 강화 카드++,Action,Air,tier3,Climax,Damage,3,0.8,3 * 0.8 * N,Air,4,None,0,Yes,4,Enemy,적에게 2~14의 피해를 줍니다. 교란 4. 강화 4.,CARD_ACTION_AIR_MAIN_3,,,,,4공격 5디버프,
0077,바람 공격 강화 카드+++,Action,Air,tier4,Finale,Damage,3,1,3 * 1.0 * N,Air,6,None,0,No,None,Enemy,적에게 3~18의 피해를 줍니다. 교란 6.,CARD_ACTION_AIR_MAIN_4,,,,,,
0078,ASN1,Support,Air,tier1,Opening,Heal,3,0.2,3 * 0.2 * N,None,0,None,0,Yes,2,Self,1~4의 체력을 회복합니다. 강화 2,CARD_SUPPORT_AIR_NOMAL_1,,,,,,
0079,ASN1+,Support,Air,tier2,Opening,Heal,3,0.3,3 * 0.3 * N,None,0,Gale,1,No,None,Self,1~5의 체력을 회복합니다. 순풍 1.,CARD_SUPPORT_AIR_NOMAL_2,,,,,2회복 1버프,
0080,ASN2,Support,Air,tier1,Opening,Shield,3,0.1,3 * 0.1 * N,None,0,Gale,1,Yes,2,Self,0~2의 보호막을 얻습니다. 순풍 1. 강화 2.,CARD_SUPPORT_AIR_NOMAL_3,,,,,,
0081,ASN2+,Support,Air,tier2,Opening,Shield,3,0.2,3 * 0.2 * N,None,0,Gale,2,No,None,Self,1~4의 보호막을 얻습니다. 순풍 2.,CARD_SUPPORT_AIR_NOMAL_4,,,,,,
0082,ASR1,Support,Air,tier1,Rising,Heal,3,0.2,3 * 0.2 * N,None,0,Gale,2,Yes,3,Self,1~4의 체력을 회복합니다. 순풍 2. 강화 3,CARD_SUPPORT_AIR_RARE_1,,,,,1방어막 2버프,
0083,ASR1+,Support,Air,tier2,Rising,Heal,3,0.3,3 * 0.3 * N,None,0,Gale,3,No,None,Self,1~5의 체력을 회복합니다. 순풍 3.,CARD_SUPPORT_AIR_RARE_2,,,,,,
0084,ASE1,Support,Air,tier1,Climax,Shield,3,0.3,3 * 0.3 * N,None,0,Gale,4,Yes,3,Self,1~5의 보호막을 얻습니다. 순풍 4. 강화 3.,CARD_SUPPORT_AIR_EPIC_1,,,,,,
0085,ASE1+,Support,Air,tier2,Climax,Shield,3,0.4,3 * 0.4 * N,None,0,Gale,5,Yes,4,Self,1~7의 보호막을 얻습니다. 순풍 5. 강화 4.,CARD_SUPPORT_AIR_EPIC_2,,,,,2회복 3버프,
0086,ASE1++,Support,Air,tier3,Finale,Shield,3,0.5,3 * 0.5 * N,None,0,Gale,6,No,None,Self,2~9의 보호막을 얻습니다. 순풍 6.,CARD_SUPPORT_AIR_EPIC_3,,,,,,
0087,바람 방어 강화 카드,Support,Air,tier1,Opening,Heal,3,0.15,3 * 0.15* N,None,0,Gale,2,Yes,2,Self,1~3의 체력을 회복합니다. 순풍 2. 강화 2.,CARD_SUPPORT_AIR_MAIN_1,,,,,,
0088,바람 방어 강화 카드+,Support,Air,tier2,Rising,Heal,3,0.3,3 * 0.3 * N,None,0,Gale,3,Yes,3,Self,1~5의 체력을 회복합니다. 순풍 3. 강화 3,CARD_SUPPORT_AIR_MAIN_2,,,,,3보호막 5버프,
0089,바람 방어 강화 카드++,Support,Air,tier3,Climax,Heal,3,0.45,3 * 0.45 * N,None,0,Gale,4,Yes,4,Self,1~8의 체력을 회복합니다. 순풍 4. 강화 4.,CARD_SUPPORT_AIR_MAIN_3,,,,,,
0090,바람 방어 강화 카드+++,Support,Air,tier4,Finale,Heal,3,0.6,3 * 0.6 * N,None,0,Gale,5,No,None,Self,2~11의 체력을 회복합니다. 순풍 5.,CARD_SUPPORT_AIR_MAIN_4,,,,,,
0091,LAN1,Action,Land,tier1,Opening,Damage,4,0.1,4 * 0.1 * N,Land,2,None,0,Yes,2,Enemy,적에게 0~2의 피해를 줍니다. 균열 2. 강화 2.,CARD_ACTION_LAND_NOMAL_1,,,,,3디벞,
0092,LAN1+,Action,Land,tier2,Opening,Damage,4,0.2,4 * 0.2 * N,Land,3,None,0,No,None,Enemy,적에게 1~5의 피해를 줍니다. 균열 3.,CARD_ACTION_LAND_NOMAL_2,,,,,,
0093,LAN2,Action,Land,tier1,Opening,Damage,4,0.2,4 * 0.2 * N,Land,1,None,0,Yes,2,Enemy,적에게 1~5의 피해를 줍니다. 균열 2. 강화 2.,CARD_ACTION_LAND_NOMAL_3,,,,,,
0094,LAN2+,Action,Land,tier2,Opening,Damage,4,0.3,4 * 0.3 * N,Land,2,None,0,No,None,Enemy,적에게 1~7의 피해를 줍니다. 균열 2.,CARD_ACTION_LAND_NOMAL_4,,,,,1공격 2디벞,
0095,LAN3,Action,Land,tier1,Opening,Damage,4,0.4,4 * 0.4 * N,Land,0,None,0,Yes,2,Enemy,적에게 2~10의 피해를 줍니다. 강화 2.,CARD_ACTION_LAND_NOMAL_5,,,,,,
0096,LAN3+,Action,Land,tier2,Opening,Damage,4,0.5,4 * 0.5 * N,Land,1,None,0,No,None,Enemy,적에게 2~12의 피해를 줍니다. 균열 1.,CARD_ACTION_LAND_NOMAL_6,,,,,,
0097,LAR1,Action,Land,tier1,Rising,Damage,4,0.5,4 * 0.5 * N,Land,2,None,0,Yes,3,Enemy,적에게 2~12의 피해를 줍니다. 균열 2. 강화 3.,CARD_ACTION_LAND_RARE_1,,,,,2공격 1디벞,
0098,LAR1+,Action,Land,tier2,Rising,Damage,4,0.6,4 * 0.6 * N,Land,3,None,0,No,None,Enemy,적에게 2~14의 피해를 줍니다. 균열 3.,CARD_ACTION_LAND_RARE_2,,,,,,
0099,LAR2,Action,Land,tier1,Rising,Damage,4,0.7,4 * 0.7 * N,Land,1,None,0,Yes,3,Enemy,적에게 3~17의 피해를 줍니다. 균열 1. 강화 3.,CARD_ACTION_LAND_RARE_3,,,,,,
0100,LAR2+,Action,Land,tier2,Rising,Damage,4,0.8,4 * 0.8 * N,Land,2,None,0,No,None,Enemy,적에게 3~19의 피해를 줍니다. 균열 2.,CARD_ACTION_LAND_RARE_4,,,,,3공 3디벞,
0101,LAE1,Action,Land,tier1,Climax,Damage,4,0.6,4 * 0.6 * N,Land,4,None,0,Yes,3,Enemy,적에게 2~14의 피해를 줍니다. 균열 4. 강화 3.,CARD_ACTION_LAND_EPIC_1,,,,,,
0102,LAE1+,Action,Land,tier2,Climax,Damage,4,0.7,4 * 0.7 * N,Land,5,None,0,Yes,4,Enemy,적에게 3~17의 피해를 줍니다. 균열 5. 강화 4.,CARD_ACTION_LAND_EPIC_2,,,,,,
0103,LAE1++,Action,Land,tier3,Finale,Damage,4,0.8,4 * 0.8 * N,Land,6,None,0,No,None,Enemy,적에게 3~19의 피해를 줍니다. 균열 6.,CARD_ACTION_LAND_EPIC_3,,,,,4공 2 디벞,
0104,땅 공격 강화 카드,Action,Land,tier1,Opening,Damage,4,0.3,4 * 0.3 * N,None,0,None,0,Yes,2,Enemy,적에게 1~7의 피해를 줍니다. 강화 2.,CARD_ACTION_LAND_MAIN_1,,,,,,
0105,땅 공격 강화 카드+,Action,Land,tier2,Rising,Damage,4,0.5,4 * 0.5 * N,Land,2,None,0,Yes,3,Enemy,적에게 2~12의 피해를 줍니다. 균열 2. 강화 3.,CARD_ACTION_LAND_MAIN_2,,,,,,
0106,땅 공격 강화 카드++,Action,Land,tier3,Climax,Damage,4,0.7,4 * 0.7 * N,Land,4,None,0,Yes,4,Enemy,적에게 3~17의 피해를 줍니다. 균열 4. 강화 4.,CARD_ACTION_LAND_MAIN_3,,,,,4공 5디벞,
0107,땅 공격 강화 카드+++,Action,Land,tier4,Finale,Damage,4,0.9,4 * 0.9 * N,Land,6,None,0,No,None,Enemy,적에게 4~22의 피해를 줍니다. 균열 6.,CARD_ACTION_LAND_MAIN_4,,,,,,
0108,LSN1,Support,Land,tier1,Opening,Shield,3,0.1,3 * 0.1 * N,None,0,Guard,2,Yes,2,Self,0~2의 보호막을 얻습니다. 수호 2. 강화 2.,CARD_SUPPORT_LAND_NOMAL_1,,,,,,
0109,LSN1+,Support,Land,tier2,Opening,Shield,3,0.15,3 * 0.15 * N,None,0,Guard,3,No,None,Self,0~3의 보호막을 얻습니다. 수호 3.,CARD_SUPPORT_LAND_NOMAL_2,,,,,3벞,
0110,LSN2,Support,Land,tier1,Opening,Heal,3,0.2,3 * 0.2 * N,None,0,Guard,0,Yes,2,Self,1~4의 체력을 회복합니다. 강화 2,CARD_SUPPORT_LAND_NOMAL_3,,,,,,
0111,LSN2+,Support,Land,tier2,Opening,Heal,3,0.3,3 * 0.3 * N,None,0,Guard,1,No,None,Self,1~5의 체력을 회복합니다. 수호 1.,CARD_SUPPORT_LAND_NOMAL_4,,,,,,
0112,LSR1,Support,Land,tier1,Rising,Heal,3,0.3,3 * 0.3 * N,None,0,Guard,1,Yes,3,Self,1~5의 체력을 회복합니다. 수호 1. 강화 3,CARD_SUPPORT_LAND_RARE_1,,,,,2회복 1벞,
0113,LSR1+,Support,Land,tier2,Rising,Heal,3,0.4,3 * 0.4 * N,None,0,Guard,2,No,None,Self,1~7의 체력을 회복합니다. 수호 2.,CARD_SUPPORT_LAND_RARE_2,,,,,,
