MC_Id,MC_Name,MC_Type,Element,Effect_Type,MC_Tier,E_Coeffici,C_Coeffici,Debuff_Type,Debuff_Stack,Buff_Type,Buff_Stack,Target,
1021,MFSN2+,Support,Fire,Heal,Tier2,2,0.2,None,0,Fervor,2,Self,0~2의 체력을 회복합니다. 열정 2.
1022,분노,Support,Fire,Shield,Tier2,2,0.3,None,0,Fervor,1,Self,1~4의 보호막을 얻습니다. 열정 1. 강화 3.
1023,재정비,Support,Fire,Shield,Tier3,2,0.4,None,0,Fervor,2,Self,1~5의 보호막을 얻습니다. 열정 2.
1024,MFSE1,Support,Fire,Shield,Tier3,2,0.4,None,0,Fervor,3,Self,1~5의 보호막을 얻습니다. 열정 3. 강화 3.
1025,방패 올리기,Support,Fire,Shield,Tier4,2,0.5,None,0,Fervor,4,Self,1~6의 보호막을 얻습니다. 열정 4. 강화 4.
1026,견고한 갑옷,Support,Fire,Shield,Tier4,2,0.6,None,0,Fervor,5,Self,1~7의 보호막을 얻습니다. 열정 5.
1027,MFSB,Support,Fire,Shield,,2,0.2,None,0,Fervor,2,Self,0~2의 보호막을 얻습니다. 열정 2. 강화 2.
1028,MFSB+,Support,Fire,Shield,,2,0.35,None,0,Fervor,3,Self,1~4의 보호막을 얻습니다. 열정 3. 강화 3.
1029,MFSB++,Support,Fire,Shield,,2,0.5,None,0,Fervor,4,Self,1~6의 보호막을 얻습니다. 열정 4. 강화 4.
1030,MFSB+++,Support,Fire,Shield,Tier5,2,0.65,None,0,Fervor,5,Self,1~8의 보호막을 얻습니다. 열정 5.
1031,MWAN1,Action,Water,Damage,Tier1,3,0.4,Water,0,None,0,Player,적에게 1~7의 피해를 줍니다. 강화 2
1032,MWAN1+,Action,Water,Damage,Tier2,3,0.5,Water,1,None,0,Player,적에게 2~9의 피해를 줍니다. 젖음 1.
1033,점액 던지기,Action,Water,Damage,Tier1,3,0.2,Water,1,None,0,Player,적에게 1~4의 피해를 줍니다. 젖음 1. 강화 2.
1034,MWAN2+,Action,Water,Damage,Tier2,3,0.3,Water,2,None,0,Player,적에게 1~5의 피해를 줍니다. 젖음 2
1035,MWAN3,Action,Water,Damage,Tier1,3,0.6,None,0,None,0,Player,적에게 2~11의 피해를 줍니다. 강화 2.
1036,휘감기,Action,Water,Damage,Tier2,3,0.7,None,0,None,0,Player,적에게 2~13의 피해를 줍니다.
1037,MWAR1,Action,Water,Damage,Tier2,3,0.5,Water,2,None,0,Player,적에게 2~9의 피해를 줍니다. 젖음2. 강화 3.
1038,날카로운 독니,Action,Water,Damage,Tier3,3,0.6,Water,3,None,0,Player,적에게 2~11의 피해를 줍니다. 젖음 3.
1039,MWAR2,Action,Water,Damage,Tier2,3,0.6,Water,1,None,0,Player,적에게 2~11의 피해를 줍니다. 젖음 1. 강화 3.
1040,도약 공격,Action,Water,Damage,Tier3,3,0.7,Water,2,None,0,Player,적에게 2~13의 피해를 줍니다. 젖음 2.
1041,MWAE1,Action,Water,Damage,Tier3,3,0.7,Water,3,None,0,Player,적에게 2~13의 피해를 줍니다. 젖음 3. 강화 3.
1042,무당독,Action,Water,Damage,Tier4,3,0.8,Water,4,None,0,Player,적에게 2~14의 피해를 줍니다. 젖음 4. 강화 4.
1043,늪지독,Action,Water,Damage,Tier4,3,0.9,Water,5,None,0,Player,적에게 3~16의 피해를 줍니다. 젖음 5.
1044,MWAB,Action,Water,Damage,,3,0.4,None,0,None,0,Player,적에게 1~7의 피해를 줍니다. 강화 2.
1045,MWAB+,Action,Water,Damage,,3,0.6,Water,2,None,0,Player,적에게 2~11의 피해를 줍니다. 젖음 2. 강화 3.
1046,MWAB++,Action,Water,Damage,,3,0.8,Water,4,None,0,Player,적에게 2~14의 피해를 줍니다. 젖음 4. 강화 4.
1047,소용돌이,Action,Water,Damage,Tier5,3,1,Water,6,None,0,Player,적에게 3~18의 피해를 줍니다. 젖음 6.
1048,점액 방패,Support,Water,Shield,Tier1,4,0.2,None,0,None,0,Self,1~5의 보호막을 얻습니다. 강화 2.
1049,단단한 비늘,Support,Water,Shield,Tier2,4,0.3,None,0,None,0,Self,1~7의 보호막을 얻습니다.
1050,MWSN2,Support,Water,Heal,Tier1,4,0.1,None,0,Recovery,2,Self,0~2의 체력을 회복합니다. 재생 2. 강화 2
1051,재생,Support,Water,Heal,Tier2,4,0.15,None,0,Recovery,3,Self,1~4의 체력을 회복합니다. 재생 3.
1052,MWSR1,Support,Water,Heal,Tier2,4,0.2,None,0,Recovery,2,Self,1~5의 체력을 회복합니다. 재생 1. 강화 3
1053,MWSR1+,Support,Water,Heal,Tier3,4,0.3,None,0,Recovery,3,Self,1~7의 체력을 회복합니다. 재생 2.
1054,MWSE1,Support,Water,Heal,Tier3,4,0.3,None,0,Recovery,4,Self,1~7의 체력을 회복합니다. 재생 2. 강화 3
1055,미끄러운 피부,Support,Water,Heal,Tier4,4,0.4,None,0,Recovery,5,Self,2~10의 체력을 회복합니다. 재생 3. 강화 4.
1056,습지 재생,Support,Water,Heal,Tier4,4,0.5,None,0,Recovery,6,Self,2~12의 체력을 회복합니다. 재생 4.
1057,MWSB,Support,Water,Shield,,4,0.15,None,0,Recovery,2,Self,1~4의 보호막을 얻습니다. 재생 2. 강화 2.
1058,MWSB+,Support,Water,Shield,,4,0.3,None,0,Recovery,3,Self,1~7의 보호막을 얻습니다. 재생 3. 강화 3.
1059,MWSB++,Support,Water,Shield,,4,0.45,None,0,Recovery,4,Self,2~11의 보호막을 얻습니다. 재생 4. 강화 4.
1060,MWSB+++,Support,Water,Shield,Tier5,4,0.6,None,0,Recovery,5,Self,2~14의 보호막을 얻습니다. 재생 5.
1061,MAAN1,Action,Air,Damage,Tier1,3,0.4,Air,1,None,0,Player,적에게 1~7의 피해를 줍니다. 강화 2.
1062,회오리 발톱,Action,Air,Damage,Tier2,3,0.5,Air,2,None,0,Player,적에게 2~9의 피해를 줍니다. 교란 1.
1063,날개 베기,Action,Air,Damage,Tier1,3,0.1,Air,2,None,0,Player,적에게 0~2의 피해를 줍니다. 교란 2. 강화 2.
1064,MAAN2+,Action,Air,Damage,Tier2,3,0.2,Air,3,None,0,Player,적에게 1~4의 피해를 줍니다. 교란 3.
1065,물어뜯기,Action,Air,Damage,Tier1,3,0.6,None,0,None,0,Player,적에게 2~11의 피해를 줍니다. 강화 2.
1066,돌진 비행,Action,Air,Damage,Tier2,3,0.7,None,0,None,0,Player,적에게 2~13의 피해를 줍니다.
1067,돌개 바람,Action,Air,Damage,Tier2,3,0.6,Air,2,None,0,Player,적에게 2~11의 피해를 줍니다. 교란 2. 강화 3.
1068,날카로운 칼날,Action,Air,Damage,Tier3,3,0.7,Air,3,None,0,Player,적에게 2~13의 피해를 줍니다. 교란 3.
1069,소용돌이,Action,Air,Damage,Tier2,3,0.5,Air,3,None,0,Player,적에게 2~9의 피해를 줍니다. 교란 3. 강화 3.
1070,MAAR2+,Action,Air,Damage,Tier3,3,0.6,Air,4,None,0,Player,적에게 2~11의 피해를 줍니다. 교란 4.
1071,질풍 돌진,Action,Air,Damage,Tier3,3,0.7,Air,4,None,0,Player,적에게 2~13의 피해를 줍니다. 교란 4. 강화 3.
1072,포식,Action,Air,Damage,Tier4,3,0.8,Air,5,None,0,Player,적에게 2~14의 피해를 줍니다. 교란 5. 강화 4.
1073,MAAE1++,Action,Air,Damage,Tier4,3,0.9,Air,6,None,0,Player,적에게 3~16의 피해를 줍니다. 교란 6.
1074,MAAB,Action,Air,Damage,,3,0.4,None,0,None,0,Player,적에게 1~7의 피해를 줍니다. 강화 2.
1075,MAAB+,Action,Air,Damage,,3,0.6,Air,2,None,0,Player,적에게 2~11의 피해를 줍니다. 교란 2. 강화 3.
1076,MAAB++,Action,Air,Damage,,3,0.8,Air,4,None,0,Player,적에게 2~14의 피해를 줍니다. 교란 4. 강화 4.
1077,폭풍 갈퀴,Action,Air,Damage,Tier5,3,1,Air,6,None,0,Player,적에게 3~18의 피해를 줍니다. 교란 6.
1078,MASN1,Support,Air,Heal,Tier1,3,0.2,None,0,Gale,0,Self,1~4의 체력을 회복합니다. 강화 2
1079,MASN1+,Support,Air,Heal,Tier2,3,0.3,None,0,Gale,1,Self,1~5의 체력을 회복합니다. 순풍 1.
1080,단단한 날개,Support,Air,Shield,Tier1,3,0.1,None,0,Gale,1,Self,0~2의 보호막을 얻습니다. 순풍 1. 강화 2.
1081,MASN2+,Support,Air,Shield,Tier2,3,0.2,None,0,Gale,2,Self,1~4의 보호막을 얻습니다. 순풍 2.
1082,MASR1,Support,Air,Heal,Tier2,3,0.2,None,0,Gale,2,Self,1~4의 체력을 회복합니다. 순풍 2. 강화 3
1083,신속,Support,Air,Heal,Tier3,3,0.3,None,0,Gale,3,Self,1~5의 체력을 회복합니다. 순풍 3.
1084,MASE1,Support,Air,Shield,Tier3,3,0.3,None,0,Gale,4,Self,1~5의 보호막을 얻습니다. 순풍 4. 강화 3.
1085,광풍화,Support,Air,Shield,Tier4,3,0.4,None,0,Gale,5,Self,1~7의 보호막을 얻습니다. 순풍 5. 강화 4.
1086,MASE1++,Support,Air,Shield,Tier4,3,0.5,None,0,Gale,6,Self,2~9의 보호막을 얻습니다. 순풍 6.
1087,MASB,Support,Air,Heal,,3,0.15,None,0,Gale,2,Self,1~3의 체력을 회복합니다. 순풍 2. 강화 2.
1088,MASB+,Support,Air,Heal,,3,0.3,None,0,Gale,3,Self,1~5의 체력을 회복합니다. 순풍 3. 강화 3
1089,MASB++,Support,Air,Heal,,3,0.45,None,0,Gale,4,Self,1~8의 체력을 회복합니다. 순풍 4. 강화 4.
1090,MASB+++,Support,Air,Heal,Tier5,3,0.6,None,0,Gale,5,Self,2~11의 체력을 회복합니다. 순풍 5.
1091,위액 투척,Action,Land,Damage,Tier1,4,0.1,Land,2,None,0,Player,적에게 0~2의 피해를 줍니다. 균열 2. 강화 2.
1092,MLAN1+,Action,Land,Damage,Tier2,4,0.2,Land,3,None,0,Player,적에게 1~5의 피해를 줍니다. 균열 3.
1093,MLAN2,Action,Land,Damage,Tier1,4,0.2,Land,1,None,0,Player,적에게 1~5의 피해를 줍니다. 균열 2. 강화 2.
1094,MLAN2+,Action,Land,Damage,Tier2,4,0.3,Land,2,None,0,Player,적에게 1~7의 피해를 줍니다. 균열 2.
1095,MLAN3,Action,Land,Damage,Tier1,4,0.4,Land,0,None,0,Player,적에게 2~10의 피해를 줍니다. 강화 2.
1096,머리 들이받기,Action,Land,Damage,Tier2,4,0.5,Land,1,None,0,Player,적에게 2~12의 피해를 줍니다. 균열 1.
1097,MLAR1,Action,Land,Damage,Tier2,4,0.5,Land,2,None,0,Player,적에게 2~12의 피해를 줍니다. 균열 2. 강화 3.
1098,산성 포자,Action,Land,Damage,Tier3,4,0.6,Land,3,None,0,Player,적에게 2~14의 피해를 줍니다. 균열 3.
1099,집어삼키기,Action,Land,Damage,Tier2,4,0.7,Land,1,None,0,Player,적에게 3~17의 피해를 줍니다. 균열 1. 강화 3.
1100,MLAR2+,Action,Land,Damage,Tier3,4,0.8,Land,2,None,0,Player,적에게 3~19의 피해를 줍니다. 균열 2.
1101,MLAE1,Action,Land,Damage,Tier3,4,0.6,Land,4,None,0,Player,적에게 2~14의 피해를 줍니다. 균열 4. 강화 3.
1102,대지 흔들기,Action,Land,Damage,Tier4,4,0.7,Land,5,None,0,Player,적에게 3~17의 피해를 줍니다. 균열 5. 강화 4.
1103,땅 고르기,Action,Land,Damage,Tier4,4,0.8,Land,6,None,0,Player,적에게 3~19의 피해를 줍니다. 균열 6.
1104,MLAB,Action,Land,Damage,,4,0.3,None,0,None,0,Player,적에게 1~7의 피해를 줍니다. 강화 2.
1105,MLAB+,Action,Land,Damage,,4,0.5,Land,2,None,0,Player,적에게 2~12의 피해를 줍니다. 균열 2. 강화 3.
1106,MLAB++,Action,Land,Damage,Tier4,4,0.7,Land,4,None,0,Player,적에게 3~17의 피해를 줍니다. 균열 4. 강화 4.
1107,MLAB+++,Action,Land,Damage,Tier5,4,0.9,Land,6,None,0,Player,적에게 4~22의 피해를 줍니다. 균열 6.
1108,MLSN1,Support,Land,Shield,Tier1,3,0.1,None,0,Guard,2,Self,0~2의 보호막을 얻습니다. 수호 2. 강화 2.
1109,MLSN1+,Support,Land,Shield,Tier2,3,0.15,None,0,Guard,3,Self,0~3의 보호막을 얻습니다. 수호 3.
1110,식충회복,Support,Land,Heal,Tier1,3,0.2,None,0,Guard,0,Self,1~4의 체력을 회복합니다. 강화 2
1111,MLSN2+,Support,Land,Heal,Tier2,3,0.3,None,0,Guard,1,Self,1~5의 체력을 회복합니다. 수호 1.
1112,MLSR1,Support,Land,Heal,Tier2,3,0.3,None,0,Guard,1,Self,1~5의 체력을 회복합니다. 수호 1. 강화 3
1113,강한 재생력,Support,Land,Heal,Tier3,3,0.4,None,0,Guard,2,Self,1~7의 체력을 회복합니다. 수호 2.
1114,껍질 방어,Support,Land,Shield,Tier3,3,0.3,None,0,Guard,2,Self,1~5의 보호막을 얻습니다. 수호 2. 강화 3.
1115,MLSE1+,Support,Land,Shield,Tier4,3,0.4,None,0,Guard,3,Self,1~7의 보호막을 얻습니다. 수호 3. 강화 4.
1116,MLSE1++,Support,Land,Shield,Tier4,3,0.5,None,0,Guard,4,Self,2~9의 보호막을 얻습니다.수호 4.
1117,MLSB1,Support,Land,Heal,,3,0.3,None,0,Guard,0,Self,1~5의 체력을 회복합니다. 강화 2.
1118,숲의 보호,Support,Land,Heal,Tier3,3,0.4,None,0,Guard,2,Self,1~7의 체력을 회복합니다. 수호 2. 강화 3
1119,MLSB2,Support,Land,Heal,,3,0.5,None,0,Guard,4,Self,2~9의 체력을 회복합니다. 수호 4. 강화 4.
1120,강철 갑옷,Support,Land,Shield,Tier5,3,0.6,None,0,Guard,6,Self,2~11의 보호막을 얻습니다. 수호 6.
1121,몽둥이 내려치기,Action,None,Damage,Tier1,4,0.4,None,0,None,0,Player,
1122,급소 노리기,Action,None,Damage,Tier2,4,0.6,None,0,None,0,Player,
1123,무모한 돌진,Action,None,Damage,Tier3,4,0.8,None,0,None,0,Player,
1124,회복약,Support,None,Heal,Tier1,4,0.2,None,0,None,0,Self,
1125,방패 들기,Support,None,Shield,Tier2,4,0.3,None,0,None,0,Self,
1126,거친 피부,Support,None,Shield,Tier3,4,0.4,None,0,None,0,Self,
1127,내려찍기,Action,None,Damage,Tier2,4,0.6,None,0,None,0,Player,
,None,,,,,,,,,,,,
